,0
0,6877.367752573453
1,3383.3283930260222
2,-437.5538009016309
3,5384.188604649389
4,6288.02821179037
5,5298.186826225137
6,2394.4943166901357
7,1065.3171692478936
8,4526.977209690958
9,-1931.1366887311451
10,-191.95185161801055
11,790.7470924954396
12,-13254.402625222225
13,-450.5320211434737
14,6668.876610878622
15,-176.09726032288745
16,-1318.292651558295
17,-1444.91047647479
18,-813.5470288083889
19,519.2539911502972
20,1491.5877302009612
21,-330.59388792910613
22,-1269.9547104551457
23,949.9249580593314
24,-879.217765837675
25,1379.1475820632186
26,2098.950889388565
27,2622.7940630316734
28,1560.8412156791892
29,-17241.92489674152
30,573.3271823145915
31,-5161.4434962312225
32,322.44127151789144
33,10470.535099262604
34,8430.511678806506
35,3871.99457808421
36,4058.6576179242693
37,-747.4650355861522
38,3897.0742017049342
39,4904.22533778334
40,2889.50780233182
41,287.20865908032283
42,634.5034422138706
43,-2851.4413198572583
44,-2607.4629138635937
45,8337.434067997616
46,-1093.552074416075
47,3309.1602901406586
48,13264.879215878667
