,0
0,1101377.2577517058
1,1186379.0778451478
2,1188960.1956740695
3,1190171.3529857497
4,1186233.0745931517
5,1181065.0833814533
6,1175428.4770281739
7,1179573.8496830338
8,1181645.9071279967
9,1195135.043216503
10,1193027.8590315187
11,1191490.4397666669
12,1190071.9000860143
13,1195505.4760152162
14,1201869.98500254
15,1209192.0901490718
16,1213352.859569134
17,1217843.9434332666
18,1214030.5008797068
19,1215470.6781102603
20,1223437.281082401
21,1220151.211454751
22,1221922.0722740132
23,1219848.4886692013
24,1223885.8456737567
25,1223106.5031549647
26,1243698.3574497334
27,1237233.5809970882
28,1236824.034331418
29,1232122.0537661922
30,1229277.2952670457
31,1221299.283586941
32,1223884.177831588
33,1224987.275157087
34,1223320.2620720754
35,1220100.9905836214
36,1226456.2582011407
37,1226476.9233829929
38,1225130.2429254237
39,1222611.359199895
40,1208909.562539849
41,1211621.3990804874
42,1211521.9492015592
43,1208722.7990759937
44,1204763.5987822523
45,1216542.5858181715
46,1215422.0219143745
47,1223824.3930798848
48,1215910.2935458822
49,1214766.8155219632
