,0
0,10046.709208012326
1,2581.1178289216477
2,1211.157311680261
3,-3938.278392598033
4,-5167.9912116983905
5,-5636.606353279436
6,4145.372654859908
7,2072.0574449629057
8,13489.136088506319
9,-2107.184184984304
10,-1537.4192648518365
11,-1418.5396806525532
12,5433.575929201907
13,6364.508987323847
14,7322.105146531714
15,4160.769420062192
16,4491.083864132641
17,-3813.442553559784
18,1440.1772305534687
19,7966.6029721407685
20,-3286.069627650082
21,1770.8608192622196
22,-2073.5836048119236
23,4037.357004555408
24,-779.342518792022
25,20591.854294768767
26,-6464.776452645194
27,-409.54666567011736
28,-4701.980565225938
29,-2844.758499146439
30,-7978.01168010477
31,2584.894244647119
32,1103.0973254989367
33,-1667.0130850116257
34,-3219.27148845396
35,6355.267617519246
36,20.665181852178648
37,-1346.680457569193
38,-2518.8837255286053
39,-13701.796660046093
40,2711.836540638469
41,-99.44987892825156
42,-2799.150125565473
43,-3959.200293741422
44,11778.987035919214
45,-1120.5639037969522
46,8402.371165510267
47,-7914.099534002598
48,-1143.478023919044
