,0
0,1650078.4123022505
1,1650919.383472551
2,1652075.3899511555
3,1650164.0802192916
4,1647945.4293036077
5,1649071.9313939116
6,1650845.7143319645
7,1650655.0412231577
8,1654849.2727097794
9,1658411.2745877118
10,1661670.6557955383
11,1661784.3523526092
12,1664906.7780460455
13,1655944.2420099382
14,1648967.7590090162
15,1658197.7467561914
16,1647273.344167424
17,1666817.9269345482
18,1675044.1986334946
19,1679353.1061576612
20,1677674.0158280074
21,1677674.0158280074
22,1677674.0158280074
23,1677674.0158280074
24,1677674.0158280074
25,1677674.0158280074
26,1677674.0158280074
27,1677674.0158280074
28,1677674.0158280074
29,1677674.0158280074
30,1677674.0158280074
31,1677674.0158280074
32,1677674.0158280074
33,1677674.0158280074
34,1677674.0158280074
35,1677822.108323722
36,1678531.90795935
37,1677578.774892542
38,1673200.3147455764
39,1674766.8361261224
40,1678859.0064568622
41,1678038.1134479798
42,1678038.1134479798
43,1676941.9197610368
44,1677292.2511057232
45,1674127.2448828013
46,1674651.9927971005
47,1674348.0460237525
48,1673600.7499931247
49,1673600.7499931247
