,0
0,1691272.3185741757
1,1691277.152855504
2,1691124.4142313544
3,1691124.4142313544
4,1691124.4142313544
5,1691124.4142313544
6,1691124.4142313544
7,1691124.4142313544
8,1691124.4142313544
9,1691124.4142313544
10,1691124.4142313544
11,1691124.4142313544
12,1691124.4142313544
13,1691124.4142313544
14,1691124.4142313544
15,1691124.4142313544
16,1691124.4142313544
17,1691124.4142313544
18,1691124.4142313544
19,1691124.4142313544
20,1691124.4142313544
21,1691124.4142313544
22,1691124.4142313544
23,1691124.4142313544
24,1691124.4142313544
25,1691124.4142313544
26,1691124.4142313544
27,1691124.4142313544
28,1688971.3631382086
29,1688790.6595585064
30,1688790.6595585064
31,1688790.6595585064
32,1688790.6595585064
33,1688790.6595585064
34,1688790.6595585064
35,1688790.6595585064
36,1688790.6595585064
37,1688790.6595585064
38,1688790.6595585064
39,1688790.6595585064
40,1688790.6595585064
41,1688790.6595585064
42,1688790.6595585064
43,1688790.6595585064
44,1688790.6595585064
45,1688790.6595585064
46,1688790.6595585064
47,1688790.6595585064
48,1688790.6595585064
49,1688790.6595585064
