,0
0,1255949.601519347
1,1298957.9578104534
2,1302341.2862034794
3,1301903.7324025778
4,1307287.9210072272
5,1313575.9492190175
6,1318874.1360452427
7,1321268.6303619328
8,1322333.9475311807
9,1326860.9247408716
10,1324929.7880521405
11,1324737.8362005225
12,1325528.583293018
13,1312274.1806677957
14,1311823.6486466522
15,1318492.5252575309
16,1318316.427997208
17,1316998.1353456497
18,1315553.2248691749
19,1314739.6778403665
20,1315258.9318315168
21,1316750.5195617178
22,1316419.9256737886
23,1315149.9709633335
24,1316099.8959213928
25,1315220.6781555552
26,1316599.8257376184
27,1318698.776627007
28,1321321.5706900386
29,1322882.4119057178
30,1305640.4870089763
31,1306213.8141912909
32,1301052.3706950597
33,1301374.8119665775
34,1311845.3470658401
35,1320275.8587446467
36,1324147.8533227309
37,1328206.5109406551
38,1327459.045905069
39,1331356.120106774
40,1336260.3454445573
41,1339149.853246889
42,1339437.0619059694
43,1340071.5653481833
44,1337220.124028326
45,1334612.6611144624
46,1342950.09518246
47,1341856.543108044
48,1345165.7033981846
49,1358430.5826140633
