,0
0,464.8870705079753
1,353.0518246591091
2,135.22636118764058
3,-238.1037651365623
4,0.0
5,0.0
6,0.0
7,1724.073771003401
8,553.2680331694428
9,4724.122518241871
10,-2099.7218333892524
11,-7658.636637999443
12,-519.8167441731784
13,0.0
14,0.0
15,0.0
16,0.0
17,-921.7901156838052
18,-70.43439688533545
19,-469.75672251242213
20,-4535.099237749353
21,1727.703392087482
22,-258.356792437844
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
