,0
425,1451096.7994305117
426,1439032.3774167374
427,1452662.3457851342
428,1445701.0054726324
429,1470079.8852728659
430,1472996.1242541468
431,1479489.2009126958
432,1484825.1886308333
433,1492144.0726471555
434,1493867.6283974927
435,1500569.9491047107
436,1510087.8561398487
437,1505918.363135592
438,1524286.5232662095
439,1481598.2054076768
440,1493185.96690399
441,1500797.3407705287
442,1498204.99090889
443,1500340.969310286
444,1506205.186504998
445,1511921.267753536
446,1508753.74960316
447,1531954.565506168
448,1530263.2023989307
449,1537550.4819201261
450,1541146.198086014
451,1568530.2633800362
452,1569786.3472230397
453,1565049.4818615564
454,1561729.4317835788
455,1564852.9985503114
456,1555890.7962056256
457,1539477.491793353
458,1537794.5910686431
459,1520728.929557388
460,1517671.7825395209
461,1542770.833195629
462,1549451.377140532
463,1549618.1193400817
464,1526369.8250376037
465,1550647.1926206322
466,1533713.8100641272
467,1523762.3471584888
468,1508911.204275541
469,1540804.7779261076
470,1549870.00250495
471,1551490.3714733229
472,1547710.5036687846
473,1539733.9273422172
474,1549919.1070373654
475,1545765.3524587527
476,1551610.6788345478
477,1547694.6593636703
478,1561539.539392936
479,1552241.2093970499
480,1552952.1923221338
481,1556982.064097088
482,1553116.5509575433
483,1564306.7344980997
484,1566890.7261685804
485,1566950.3357950866
486,1561402.3634027191
487,1564576.133188617
488,1569856.070498451
489,1570590.070332031
490,1571489.8286119637
491,1581552.1632528282
492,1583451.0407732467
493,1578685.55730307
494,1591255.9561792493
495,1584429.6146117104
496,1581422.4614568164
497,1578528.2374885508
498,1597177.8894214851
499,1596171.8192719535
500,1607918.8325020177
501,1614726.8585660546
502,1655686.1098618705
503,1657615.2122247394
504,1656084.727870042
505,1693775.105663464
506,1709803.5615853022
507,1704883.8978520806
508,1700540.3561907872
509,1681947.7769605275
510,1704064.0477432387
511,1718688.853324576
512,1715827.9787999685
513,1717974.2023091838
514,1724107.911570873
515,1734375.0579373203
516,1746617.9326456564
517,1733353.9173724742
518,1729217.4612579413
519,1727728.3263701329
520,1721519.3399481033
521,1716352.6042523028
522,1721389.4101757682
523,1729235.402941277
524,1735685.0024510918
525,1707509.4795842692
526,1691083.7004769205
527,1693341.2470687435
528,1706538.895917276
529,1705240.6052944388
