,0
0,1086804.8346896665
1,1118221.2307198453
2,1118135.3372942498
3,1119459.6075287652
4,1122619.0498326535
5,1122573.245445083
6,1123654.0564955648
7,1117257.0811317984
8,1117629.0191148461
9,1117905.4469890161
10,1132109.5269001073
11,1129779.1599427985
12,1128433.9191655556
13,1125273.242564981
14,1134559.6652941895
15,1131443.0935910472
16,1135862.5462645192
17,1130135.7738189665
18,1131770.4051602518
19,1129572.881349978
20,1130195.7124277
21,1129254.6103873786
22,1133499.6330079879
23,1126660.1987355503
24,1126838.4747227442
25,1123177.9870253883
26,1130266.9211509048
27,1125058.753575136
28,1123363.9920479488
29,1125553.648289309
30,1129519.891312677
31,1130819.0450468152
32,1129768.9917250685
33,1122167.392127825
34,1096829.4307795546
35,1111788.9467529291
36,1091329.4243328015
37,1088145.4569802384
38,1097621.2647707106
39,1092001.9924295538
40,1094671.6441513905
41,1095523.3428561056
42,1103663.0026341728
43,1109534.7300043877
44,1099772.6743111897
45,1088203.0983029902
46,1100695.3295138988
47,1110656.019292872
48,1103423.1801749463
49,1112359.973129991
