,0
0,975125.1064829014
1,1086922.6519221247
2,1087783.1154073079
3,1091403.919918788
4,1077748.16602653
5,1075447.400390871
6,1084145.9694621586
7,1076648.5778352157
8,1074089.5957681534
9,1073166.0815437874
10,1076904.9187867844
11,1078975.0797048095
12,1090787.028041707
13,1077407.0975070947
14,1078282.1939407333
15,1070127.1414758714
16,1081395.9477910015
17,1064358.0973399766
18,1068166.6425652313
19,1062471.9230173512
20,1070238.6023694852
21,1066785.8012934288
22,1084407.204235922
23,1090790.256019713
24,1090901.7847853436
25,1094411.3911332563
26,1090081.678643048
27,1090833.1081550887
28,1094751.845522366
29,1091351.0574208824
30,1093155.2487082249
31,1095781.97724944
32,1100363.9073258394
33,1096794.3947191369
34,1089281.8536328468
35,1076001.4395579414
36,1065027.5219331386
37,1065872.2612490607
38,1072781.2133058412
39,1067626.1047607972
40,1071999.837055797
41,1075606.6352653059
42,1071347.5651364727
43,1085658.7302981704
44,1049658.1724709591
45,1029336.4231780396
46,1048685.3450265748
47,1065660.6311898185
48,1070132.4127014482
49,1075684.8173843822
