,0
0,-873.5319123915397
1,3732.639961993322
2,-2957.377573200618
3,1324.8287169234827
4,6580.959316069842
5,-127.82484481448773
6,-8571.356855945662
7,5134.020020637312
8,-1355.312309963745
9,-10323.491776489886
10,-8348.533876794041
11,500.599587041419
12,-894.9176292519551
13,-13180.978111892939
14,12667.787155455677
15,13721.904980425257
16,18366.68624249124
17,-2700.9174634147203
18,-2625.814175922307
19,16056.640970620327
20,-13125.591151208733
21,1681.7188802063465
22,13127.039827677188
23,-1679.7159726782702
24,-8352.036402013851
25,24635.06063283875
26,336.2780864130473
27,-1984.7182608005824
28,3607.1572373525705
29,-1428.4872431552503
30,-4576.724405922112
31,6313.177709630807
32,1335.2195919402875
33,15523.296731938608
34,3044.7360007944517
35,5508.809243828058
36,8950.3520770974
37,12305.063787974184
38,7616.094462586334
39,4213.184360827319
40,-798.9024983660784
41,-11860.495918781031
42,-1112.640454391716
43,-2335.6999206063338
44,7668.711430841358
45,6057.439859606791
46,-5162.132633898174
47,3964.739135220181
48,-6462.46768938913
