,0
0,85.72678136103787
1,4755.877743516117
2,-6918.333648673259
3,-2473.0556485527195
4,-1950.4186487598345
5,1286.3154235417023
6,-3047.1843771690037
7,-6177.268068408361
8,-4469.885135189164
9,-2413.4910930464976
10,-1190.8475726509932
11,21519.846211455297
12,3538.139106426155
13,12593.119364040205
14,8019.2792838632595
15,-578.4356664689258
16,-4035.3433141361456
17,118.90598654607311
18,-2037.6521990741603
19,3889.7827374876942
20,-3860.7029194519855
21,8683.358192484826
22,3554.1454038191587
23,2607.083986700047
24,4276.155585361179
25,-4223.461212633178
26,-5956.930215928238
27,3628.3014296405017
28,2902.642845995724
29,-2286.7070506489836
30,451.4145547999069
31,-311.11491389526054
32,17838.71684864466
33,3925.0105180896353
34,10263.99748091842
35,2472.492647813633
36,3339.669398669619
37,-6171.374446126167
38,9869.945532622049
39,3021.2970904465765
40,-4748.920129630016
41,464.6714254023973
42,-2925.5365675925277
43,-1991.1555899714585
44,82.92735386034474
45,1092.0849166191183
46,-7508.869802197907
47,-2558.8785609509796
48,-2589.4399359119125
