,0
0,1000000.0
1,999126.4680876085
2,1002859.1080496018
3,999901.7304764012
4,1001226.5591933246
5,1007807.5185093945
6,1007679.69366458
7,999108.3368086343
8,1004242.3568292717
9,1002887.0445193079
10,992563.552742818
11,984215.018866024
12,984715.6184530654
13,983820.7008238134
14,970639.7227119205
15,983307.5098673762
16,997029.4148478014
17,1015396.1010902927
18,1012695.183626878
19,1010069.3694509557
20,1026126.010421576
21,1013000.4192703672
22,1014682.1381505736
23,1027809.1779782508
24,1026129.4620055725
25,1017777.4256035587
26,1042412.4862363974
27,1042748.7643228105
28,1040764.0460620099
29,1044371.2032993624
30,1042942.7160562072
31,1038365.9916502851
32,1044679.1693599159
33,1046014.3889518562
34,1061537.6856837948
35,1064582.4216845892
36,1070091.2309284173
37,1079041.5830055147
38,1091346.6467934889
39,1098962.7412560752
40,1103175.9256169025
41,1102377.0231185365
42,1090516.5271997554
43,1089403.8867453637
44,1087068.1868247574
45,1094736.8982555987
46,1100794.3381152055
47,1095632.2054813073
48,1099596.9446165275
49,1093134.4769271384
