,0
0,1687218.7416352152
1,1688213.3346942305
2,1688149.4122856497
3,1688149.4122856497
4,1688149.4122856497
5,1688149.4122856497
6,1688149.4122856497
7,1688149.4122856497
8,1688149.4122856497
9,1688149.4122856497
10,1688149.4122856497
11,1688149.4122856497
12,1688149.4122856497
13,1688149.4122856497
14,1688149.4122856497
15,1688149.4122856497
16,1688149.4122856497
17,1688149.4122856497
18,1688149.4122856497
19,1688149.4122856497
20,1688149.4122856497
21,1688149.4122856497
22,1688149.4122856497
23,1688149.4122856497
24,1688149.4122856497
25,1688149.4122856497
26,1688149.4122856497
27,1688149.4122856497
28,1688149.4122856497
29,1688149.4122856497
30,1688149.4122856497
31,1688149.4122856497
32,1688149.4122856497
33,1688149.4122856497
34,1688149.4122856497
35,1688149.4122856497
36,1688149.4122856497
37,1687592.8140048212
38,1687246.8761373295
39,1687034.0112369447
40,1687034.0112369447
41,1687034.0112369447
42,1684154.6810155944
43,1684023.7561922548
44,1684023.7561922548
45,1684023.7561922548
46,1684023.7561922548
47,1684023.7561922548
48,1684023.7561922548
49,1684023.7561922548
