,0
0,1127680.5734609552
1,1102227.2958540493
2,1106983.1735975654
3,1100064.8399488921
4,1097591.7843003394
5,1095641.3656515796
6,1096927.6810751213
7,1093880.4966979523
8,1087703.228629544
9,1083233.3434943547
10,1080819.8524013082
11,1079629.0048286573
12,1101148.8510401126
13,1104686.9901465387
14,1117280.109510579
15,1125299.3887944422
16,1124720.9531279732
17,1120685.609813837
18,1120804.5158003832
19,1118766.863601309
20,1122656.6463387967
21,1118795.9434193447
22,1127479.3016118295
23,1131033.4470156487
24,1133640.5310023488
25,1137916.68658771
26,1133693.2253750768
27,1127736.2951591485
28,1131364.596588789
29,1134267.2394347847
30,1131980.5323841358
31,1132431.9469389357
32,1132120.8320250404
33,1149959.548873685
34,1153884.5593917747
35,1164148.5568726931
36,1166621.0495205068
37,1169960.7189191764
38,1163789.3444730502
39,1173659.2900056723
40,1176680.5870961188
41,1171931.6669664888
42,1172396.3383918912
43,1169470.8018242987
44,1167479.6462343272
45,1167562.5735881876
46,1168654.6585048067
47,1161145.7887026088
48,1158586.9101416578
49,1155997.470205746
