,0
0,1329031.389581599
1,1419969.7236480054
2,1425794.003569655
3,1422226.2789075226
4,1429704.5060237925
5,1428690.7153085412
6,1418620.2414481842
7,1421700.9424759233
8,1426066.902814826
9,1425474.7143937983
10,1426829.6750020427
11,1425862.9303959631
12,1425767.9116422099
13,1426490.2565156005
14,1421723.836871867
15,1419803.3138180368
16,1422240.1418664767
17,1415256.9121933226
18,1410626.834130967
19,1416342.9896668326
20,1411586.624832007
21,1415796.5287370244
22,1424079.31437122
23,1417966.1909356755
24,1419773.2231447673
25,1418082.3898926002
26,1437152.10190793
27,1444207.6812517582
28,1459953.4165878692
29,1458323.7029071178
30,1468672.985259523
31,1458768.099967517
32,1453554.855644911
33,1458581.7426638769
34,1461319.5262959078
35,1464803.6914527516
36,1474517.2002211062
37,1474535.6939502615
38,1472963.8948956626
39,1479142.020341823
40,1490492.0480614335
41,1486679.2227750095
42,1482491.9580905116
43,1487831.9382016077
44,1484810.1430280528
45,1481039.5229667842
46,1479783.5481729428
47,1482109.077995027
48,1475212.9755034288
49,1486017.340326369
