,0
0,1663512.1422461611
1,1640804.85392489
2,1639581.526175014
3,1639581.526175014
4,1639581.526175014
5,1639581.526175014
6,1639581.526175014
7,1640758.761627918
8,1641312.792404045
9,1638975.8976768192
10,1640620.45409235
11,1640219.6498922925
12,1640219.6498922925
13,1640219.6498922925
14,1640219.6498922925
15,1640219.6498922925
16,1640219.6498922925
17,1640219.6498922925
18,1640219.6498922925
19,1640219.6498922925
20,1640219.6498922925
21,1640219.6498922925
22,1640219.6498922925
23,1640219.6498922925
24,1640219.6498922925
25,1640219.6498922925
26,1640219.6498922925
27,1640219.6498922925
28,1640219.6498922925
29,1640219.6498922925
30,1640219.6498922925
31,1640219.6498922925
32,1640219.6498922925
33,1640219.6498922925
34,1640219.6498922925
35,1640219.6498922925
36,1640219.6498922925
37,1640219.6498922925
38,1640219.6498922925
39,1640219.6498922925
40,1640219.6498922925
41,1640219.6498922925
42,1640219.6498922925
43,1640219.6498922925
44,1640219.6498922925
45,1640219.6498922925
46,1640219.6498922925
47,1640219.6498922925
48,1640219.6498922925
49,1640219.6498922925
