,0
0,1433140.0129098657
1,1629172.534221804
2,1636262.61375409
3,1634702.436768494
4,1634702.436768494
5,1634702.436768494
6,1634702.436768494
7,1634702.436768494
8,1634702.436768494
9,1634702.436768494
10,1634702.436768494
11,1634702.436768494
12,1634702.436768494
13,1634702.436768494
14,1634702.436768494
15,1634702.436768494
16,1634702.436768494
17,1634702.436768494
18,1634702.436768494
19,1634702.436768494
20,1634702.436768494
21,1634702.436768494
22,1634702.436768494
23,1634702.436768494
24,1634702.436768494
25,1634702.436768494
26,1634702.436768494
27,1634702.436768494
28,1634702.436768494
29,1634702.436768494
30,1634702.436768494
31,1634702.436768494
32,1634702.436768494
33,1634702.436768494
34,1634702.436768494
35,1634702.436768494
36,1634702.436768494
37,1634702.436768494
38,1634702.436768494
39,1634702.436768494
40,1634702.436768494
41,1634702.436768494
42,1634702.436768494
43,1634702.436768494
44,1634702.436768494
45,1634702.436768494
46,1634702.436768494
47,1634702.436768494
48,1634702.436768494
49,1634702.436768494
