,0
0,-2002.4603407240938
1,860.4634851831943
2,3620.8045114800334
3,-13655.75389225781
4,-2300.765635658987
5,8698.569071287522
6,-7497.391626942903
7,-2558.9820670622867
8,-923.5142243660521
9,3738.8372429970186
10,2070.160918025067
11,11811.948336897418
12,-13379.930534612155
13,875.096433638595
14,-8155.052464861888
15,11268.806315130088
16,-17037.850451024948
17,3808.5452252547257
18,-5694.719547880115
19,7766.6793521340005
20,-3452.8010760564357
21,17621.402942493325
22,6383.051783790812
23,111.52876563067548
24,3509.6063479126897
25,-4329.712490208214
26,751.4295120406896
27,3918.7373672772665
28,-3400.788101483602
29,1804.191287342459
30,2626.728541215183
31,4581.930076399352
32,-3569.512606702512
33,-7512.541086290032
34,-13280.41407490545
35,-10973.917624802794
36,844.7393159221392
37,6908.9520567804575
38,-5155.108545043971
39,4373.7322949997615
40,3606.798209508881
41,-4259.070128833177
42,14311.16516169766
43,-36000.55782721122
44,-20321.74929291953
45,19348.92184853519
46,16975.286163243698
47,4471.781511629699
48,5552.404682934051
