,0
0,1633453.8360041063
1,1693338.4461937605
2,1691842.817345062
3,1691842.817345062
4,1691842.817345062
5,1691842.817345062
6,1691842.817345062
7,1691842.817345062
8,1691842.817345062
9,1691842.817345062
10,1691842.817345062
11,1691842.817345062
12,1691842.817345062
13,1691842.817345062
14,1691842.817345062
15,1691842.817345062
16,1691842.817345062
17,1691842.817345062
18,1691842.817345062
19,1691842.817345062
20,1691842.817345062
21,1691842.817345062
22,1691842.817345062
23,1691842.817345062
24,1691842.817345062
25,1691842.817345062
26,1691842.817345062
27,1691842.817345062
28,1691842.817345062
29,1691842.817345062
30,1691842.817345062
31,1691842.817345062
32,1691842.817345062
33,1691842.817345062
34,1691842.817345062
35,1691842.817345062
36,1691842.817345062
37,1691842.817345062
38,1691842.817345062
39,1691842.817345062
40,1691842.817345062
41,1691842.817345062
42,1691842.817345062
43,1691842.817345062
44,1691842.817345062
45,1691842.817345062
46,1691842.817345062
47,1691842.817345062
48,1691842.817345062
49,1691842.817345062
