,0
0,840.971170300385
1,1156.0064786046278
2,-1911.3097318639047
3,-2218.6509156839456
4,1126.5020903039258
5,1773.7829380529001
6,-190.67310880683362
7,4194.2314866217785
8,3562.0018779323436
9,3259.3812078265473
10,113.69655707082711
11,3122.425693436293
12,-8962.536036107223
13,-6976.483000922017
14,9229.987747175153
15,-10924.402588767465
16,19544.582767124288
17,8226.271698946366
18,4308.907524166629
19,-1679.0903296538163
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,148.0924957145471
35,709.7996356280055
36,-953.1330668078735
37,-4378.460146965692
38,1566.521380546037
39,4092.170330739813
40,-820.8930088824127
41,0.0
42,-1096.1936869430356
43,350.3313446864486
44,-3165.0062229218893
45,524.747914299136
46,-303.9467733479105
47,-747.2960306277964
48,0.0
