,0
0,1693091.2255051339
1,1693556.1125756418
2,1693909.164400301
3,1694044.3907614886
4,1693806.286996352
5,1693806.286996352
6,1693806.286996352
7,1693806.286996352
8,1695530.3607673554
9,1696083.6288005249
10,1700807.7513187667
11,1698708.0294853775
12,1691049.392847378
13,1690529.5761032049
14,1690529.5761032049
15,1690529.5761032049
16,1690529.5761032049
17,1690529.5761032049
18,1689607.785987521
19,1689537.3515906357
20,1689067.5948681233
21,1684532.495630374
22,1686260.1990224614
23,1686001.8422300236
24,1686001.8422300236
25,1686001.8422300236
26,1686001.8422300236
27,1686001.8422300236
28,1686001.8422300236
29,1686001.8422300236
30,1686001.8422300236
31,1686001.8422300236
32,1686001.8422300236
33,1686001.8422300236
34,1686001.8422300236
35,1686001.8422300236
36,1686001.8422300236
37,1686001.8422300236
38,1686001.8422300236
39,1686001.8422300236
40,1686001.8422300236
41,1686001.8422300236
42,1686001.8422300236
43,1686001.8422300236
44,1686001.8422300236
45,1686001.8422300236
46,1686001.8422300236
47,1686001.8422300236
48,1686001.8422300236
49,1686001.8422300236
