,0
0,1636519.9375191666
1,1636777.4672930327
2,1637596.622093295
3,1637504.466115701
4,1633221.520296054
5,1633467.9333124128
6,1632857.7299357215
7,1632859.0924190818
8,1645232.7552042878
9,1649305.9444132722
10,1651092.8400051112
11,1650093.1094352053
12,1650093.1094352053
13,1650093.1094352053
14,1650093.1094352053
15,1650093.1094352053
16,1650093.1094352053
17,1650093.1094352053
18,1650093.1094352053
19,1650093.1094352053
20,1650093.1094352053
21,1650093.1094352053
22,1650093.1094352053
23,1650093.1094352053
24,1650093.1094352053
25,1650093.1094352053
26,1650093.1094352053
27,1650093.1094352053
28,1650093.1094352053
29,1649995.479167626
30,1649846.4425901049
31,1650426.5003453952
32,1651084.279583339
33,1651073.3409022521
34,1650989.7507725293
35,1647382.0731976633
36,1645536.7216786554
37,1642202.743558487
38,1638816.9558982519
39,1626564.502759188
40,1623640.9337192108
41,1614502.49264951
42,1620423.1448803179
43,1610026.523515543
44,1611800.366598437
45,1602855.7690364565
46,1610235.899270574
47,1612294.376376228
48,1614089.9720984623
49,1602061.2338591202
