,0
0,1192501.8221488306
1,1253359.1273315928
2,1252852.1756059602
3,1254891.0096569716
4,1254850.608891395
5,1250051.0777062436
6,1252528.7812452386
7,1254034.7485070394
8,1248352.5055904207
9,1253015.8075386554
10,1256867.6443270429
11,1254349.1586416462
12,1257279.365502239
13,1252449.0510139891
14,1251086.897880032
15,1258849.7818230914
16,1259848.7293708427
17,1239785.5679642078
18,1242530.6847036849
19,1241288.1594797606
20,1241448.883319759
21,1241699.4537203847
22,1242396.4938435447
23,1242749.8421115284
24,1242432.8433061219
25,1242432.8433061219
26,1242432.8433061219
27,1243271.7877114427
28,1243134.7386744015
29,1243134.7386744015
30,1243134.7386744015
31,1243134.7386744015
32,1243134.7386744015
33,1243134.7386744015
34,1242764.748086663
35,1243623.199921524
36,1243424.1802098434
37,1242978.4747521605
38,1241868.4697944873
39,1243866.635928285
40,1243031.3848583472
41,1241126.7612212906
42,1239927.5653095022
43,1237742.7025507425
44,1240643.6261301266
45,1238266.3497973434
46,1243883.3085580822
47,1239782.629204061
48,1239008.7419163967
49,1247390.526286738
